t fi z E
0.000000 1.000000 1.000000 0.798257
0.010000 0.995300 0.999923 0.794803
0.020000 0.985914 0.999769 0.791400
0.030000 0.971867 0.999543 0.788089
0.040000 0.953199 0.999249 0.784916
0.050000 0.929962 0.998895 0.781925
0.060000 0.902228 0.998489 0.779169
0.070000 0.870081 0.998043 0.776700
0.080000 0.833628 0.997567 0.774577
0.090000 0.792995 0.997077 0.772857
0.100000 0.748332 0.996586 0.771599
0.110000 0.699811 0.996110 0.770860
0.120000 0.647633 0.995665 0.770691
0.130000 0.592023 0.995267 0.771133
0.140000 0.533238 0.994934 0.772216
0.150000 0.471560 0.994681 0.773950
0.160000 0.407300 0.994524 0.776330
0.170000 0.340795 0.994477 0.779325
0.180000 0.272406 0.994553 0.782880
0.190000 0.202517 0.994763 0.786918
0.200000 0.131528 0.995116 0.791341
0.210000 0.059853 0.995618 0.796031
0.220000 -0.012084 0.996275 0.800858
0.230000 -0.083860 0.997087 0.805685
0.240000 -0.155049 0.998053 0.810374
0.250000 -0.225236 0.999170 0.814796
0.260000 -0.294018 1.000431 0.818834
0.270000 -0.361008 1.001828 0.822387
0.280000 -0.425843 1.003349 0.825380
0.290000 -0.488181 1.004982 0.827759
0.300000 -0.547710 1.006714 0.829494
0.310000 -0.604146 1.008528 0.830577
0.320000 -0.657233 1.010410 0.831023
0.330000 -0.706745 1.012342 0.830860
0.340000 -0.752485 1.014309 0.830131
0.350000 -0.794285 1.016294 0.828888
0.360000 -0.832001 1.018282 0.827187
0.370000 -0.865515 1.020259 0.825090
0.380000 -0.894731 1.022212 0.822655
0.390000 -0.919573 1.024127 0.819940
0.400000 -0.939985 1.025996 0.817001
0.410000 -0.955927 1.027808 0.813887
0.420000 -0.967373 1.029557 0.810648
0.430000 -0.974314 1.031237 0.807327
0.440000 -0.976752 1.032845 0.803966
0.450000 -0.974701 1.034378 0.800604
0.460000 -0.968188 1.035838 0.797281
0.470000 -0.957251 1.037227 0.794035
0.480000 -0.941940 1.038547 0.790908
0.490000 -0.922320 1.039806 0.787940
0.500000 -0.898466 1.041010 0.785177
0.510000 -0.870470 1.042169 0.782665
0.520000 -0.838438 1.043292 0.780454
0.530000 -0.802495 1.044391 0.778592
0.540000 -0.762781 1.045480 0.777132
0.550000 -0.719459 1.046572 0.776120
0.560000 -0.672711 1.047682 0.775604
0.570000 -0.622741 1.048824 0.775620
0.580000 -0.569773 1.050013 0.776198
0.590000 -0.514056 1.051264 0.777354
0.600000 -0.455859 1.052592 0.779091
0.610000 -0.395473 1.054011 0.781395
0.620000 -0.333208 1.055532 0.784230
0.630000 -0.269392 1.057167 0.787545
0.640000 -0.204367 1.058926 0.791268
0.650000 -0.138488 1.060817 0.795312
0.660000 -0.072117 1.062845 0.799576
0.670000 -0.005620 1.065013 0.803950
