t fi z E
0.000000 0.000000 1.000000 0.531091
0.000100 0.000100 0.999900 0.531091
0.000200 0.000200 0.999800 0.531091
0.000300 0.000300 0.999700 0.531091
0.000400 0.000400 0.999600 0.531091
0.000500 0.000500 0.999500 0.531091
0.000600 0.000600 0.999400 0.531091
0.000700 0.000701 0.999300 0.531091
0.000800 0.000801 0.999200 0.531091
0.000900 0.000901 0.999100 0.531091
0.001000 0.001001 0.999000 0.531091
0.001100 0.001101 0.998900 0.531091
0.001200 0.001202 0.998800 0.531091
0.001300 0.001302 0.998700 0.531091
0.001400 0.001402 0.998600 0.531091
0.001500 0.001502 0.998500 0.531091
0.001600 0.001603 0.998400 0.531091
0.001700 0.001703 0.998300 0.531091
0.001800 0.001803 0.998200 0.531091
0.001900 0.001904 0.998100 0.531091
0.002000 0.002004 0.998000 0.531091
0.002100 0.002105 0.997900 0.531091
0.002200 0.002205 0.997800 0.531091
0.002300 0.002305 0.997700 0.531091
0.002400 0.002406 0.997600 0.531091
0.002500 0.002506 0.997500 0.531091
0.002600 0.002607 0.997400 0.531091
0.002700 0.002707 0.997300 0.531091
0.002800 0.002808 0.997200 0.531091
0.002900 0.002908 0.997100 0.531091
0.003000 0.003009 0.997000 0.531091
0.003100 0.003110 0.996900 0.531091
0.003200 0.003210 0.996800 0.531091
0.003300 0.003311 0.996700 0.531091
0.003400 0.003412 0.996600 0.531091
0.003500 0.003512 0.996500 0.531091
0.003600 0.003613 0.996400 0.531092
0.003700 0.003714 0.996300 0.531092
0.003800 0.003814 0.996200 0.531092
0.003900 0.003915 0.996100 0.531092
0.004000 0.004016 0.996000 0.531092
0.004100 0.004117 0.995900 0.531092
0.004200 0.004217 0.995800 0.531092
0.004300 0.004318 0.995700 0.531092
0.004400 0.004419 0.995600 0.531092
0.004500 0.004520 0.995500 0.531092
0.004600 0.004621 0.995400 0.531092
0.004700 0.004722 0.995300 0.531092
0.004800 0.004823 0.995200 0.531092
0.004900 0.004924 0.995100 0.531092
0.005000 0.005024 0.995000 0.531092
0.005100 0.005125 0.994900 0.531092
0.005200 0.005226 0.994800 0.531092
0.005300 0.005327 0.994700 0.531092
0.005400 0.005428 0.994600 0.531092
0.005500 0.005529 0.994500 0.531092
0.005600 0.005630 0.994400 0.531092
0.005700 0.005732 0.994301 0.531092
0.005800 0.005833 0.994201 0.531092
0.005900 0.005934 0.994101 0.531092
0.006000 0.006035 0.994001 0.531092
0.006100 0.006136 0.993901 0.531092
0.006200 0.006237 0.993801 0.531092
0.006300 0.006338 0.993701 0.531092
0.006400 0.006439 0.993601 0.531092
0.006500 0.006541 0.993501 0.531092
0.006600 0.006642 0.993401 0.531092
0.006700 0.006743 0.993301 0.531092
0.006800 0.006844 0.993201 0.531092
0.006900 0.006946 0.993101 0.531092
0.007000 0.007047 0.993001 0.531092
0.007100 0.007148 0.992901 0.531092
0.007200 0.007249 0.992801 0.531092
0.007300 0.007351 0.992701 0.531092
0.007400 0.007452 0.992601 0.531092
0.007500 0.007553 0.992501 0.531092
0.007600 0.007655 0.992401 0.531092
0.007700 0.007756 0.992301 0.531092
0.007800 0.007858 0.992201 0.531092
0.007900 0.007959 0.992101 0.531092
0.008000 0.008060 0.992001 0.531092
0.008100 0.008162 0.991901 0.531092
0.008200 0.008263 0.991801 0.531092
0.008300 0.008365 0.991701 0.531092
0.008400 0.008466 0.991601 0.531092
0.008500 0.008568 0.991501 0.531092
0.008600 0.008669 0.991401 0.531092
0.008700 0.008771 0.991301 0.531092
0.008800 0.008873 0.991201 0.531092
0.008900 0.008974 0.991101 0.531092
0.009000 0.009076 0.991001 0.531092
0.009100 0.009177 0.990901 0.531092
0.009200 0.009279 0.990801 0.531092
0.009300 0.009381 0.990701 0.531092
0.009400 0.009482 0.990601 0.531092
0.009500 0.009584 0.990501 0.531092
0.009600 0.009686 0.990401 0.531092
0.009700 0.009787 0.990301 0.531092
0.009800 0.009889 0.990201 0.531092
0.009900 0.009991 0.990102 0.531092
0.010000 0.010093 0.990002 0.531092
0.010100 0.010194 0.989902 0.531092
0.010200 0.010296 0.989802 0.531092
0.010300 0.010398 0.989702 0.531092
0.010400 0.010500 0.989602 0.531092
0.010500 0.010602 0.989502 0.531092
0.010600 0.010703 0.989402 0.531092
0.010700 0.010805 0.989302 0.531092
0.010800 0.010907 0.989202 0.531092
0.010900 0.011009 0.989102 0.531092
0.011000 0.011111 0.989002 0.531092
0.011100 0.011213 0.988902 0.531092
0.011200 0.011315 0.988802 0.531092
0.011300 0.011417 0.988702 0.531092
0.011400 0.011519 0.988602 0.531092
0.011500 0.011621 0.988502 0.531092
0.011600 0.011723 0.988402 0.531092
0.011700 0.011824 0.988302 0.531092
0.011800 0.011927 0.988202 0.531092
0.011900 0.012029 0.988102 0.531092
0.012000 0.012131 0.988002 0.531092
0.012100 0.012233 0.987902 0.531092
0.012200 0.012335 0.987802 0.531092
0.012300 0.012437 0.987702 0.531092
0.012400 0.012539 0.987602 0.531092
0.012500 0.012641 0.987502 0.531092
0.012600 0.012743 0.987402 0.531092
0.012700 0.012845 0.987302 0.531092
0.012800 0.012947 0.987203 0.531092
0.012900 0.013049 0.987103 0.531092
0.013000 0.013152 0.987003 0.531092
0.013100 0.013254 0.986903 0.531092
0.013200 0.013356 0.986803 0.531092
0.013300 0.013458 0.986703 0.531092
0.013400 0.013560 0.986603 0.531092
0.013500 0.013663 0.986503 0.531092
0.013600 0.013765 0.986403 0.531092
0.013700 0.013867 0.986303 0.531092
0.013800 0.013969 0.986203 0.531092
0.013900 0.014072 0.986103 0.531092
0.014000 0.014174 0.986003 0.531092
0.014100 0.014276 0.985903 0.531092
0.014200 0.014379 0.985803 0.531092
0.014300 0.014481 0.985703 0.531092
0.014400 0.014583 0.985603 0.531092
0.014500 0.014686 0.985503 0.531092
0.014600 0.014788 0.985403 0.531092
0.014700 0.014891 0.985303 0.531092
0.014800 0.014993 0.985203 0.531092
0.014900 0.015095 0.985103 0.531092
0.015000 0.015198 0.985003 0.531092
0.015100 0.015300 0.984904 0.531092
0.015200 0.015403 0.984804 0.531092
0.015300 0.015505 0.984704 0.531093
0.015400 0.015608 0.984604 0.531093
0.015500 0.015710 0.984504 0.531093
0.015600 0.015813 0.984404 0.531093
0.015700 0.015915 0.984304 0.531093
0.015800 0.016018 0.984204 0.531093
0.015900 0.016120 0.984104 0.531093
0.016000 0.016223 0.984004 0.531093
0.016100 0.016325 0.983904 0.531093
0.016200 0.016428 0.983804 0.531093
0.016300 0.016530 0.983704 0.531093
0.016400 0.016633 0.983604 0.531093
0.016500 0.016736 0.983504 0.531093
0.016600 0.016838 0.983404 0.531093
0.016700 0.016941 0.983304 0.531093
0.016800 0.017043 0.983204 0.531093
0.016900 0.017146 0.983104 0.531093
0.017000 0.017249 0.983004 0.531093
0.017100 0.017351 0.982904 0.531093
0.017200 0.017454 0.982805 0.531093
0.017300 0.017557 0.982705 0.531093
0.017400 0.017660 0.982605 0.531093
0.017500 0.017762 0.982505 0.531093
0.017600 0.017865 0.982405 0.531093
0.017700 0.017968 0.982305 0.531093
0.017800 0.018070 0.982205 0.531093
0.017900 0.018173 0.982105 0.531093
0.018000 0.018276 0.982005 0.531093
0.018100 0.018379 0.981905 0.531093
0.018200 0.018482 0.981805 0.531093
0.018300 0.018584 0.981705 0.531093
0.018400 0.018687 0.981605 0.531093
0.018500 0.018790 0.981505 0.531093
0.018600 0.018893 0.981405 0.531093
0.018700 0.018996 0.981305 0.531093
0.018800 0.019098 0.981205 0.531093
0.018900 0.019201 0.981105 0.531093
0.019000 0.019304 0.981006 0.531093
0.019100 0.019407 0.980906 0.531093
0.019200 0.019510 0.980806 0.531093
0.019300 0.019613 0.980706 0.531093
0.019400 0.019716 0.980606 0.531093
0.019500 0.019819 0.980506 0.531093
0.019600 0.019922 0.980406 0.531093
0.019700 0.020025 0.980306 0.531093
0.019800 0.020127 0.980206 0.531093
0.019900 0.020230 0.980106 0.531093
0.020000 0.020333 0.980006 0.531093
0.020100 0.020436 0.979906 0.531093
0.020200 0.020539 0.979806 0.531093
0.020300 0.020642 0.979706 0.531093
0.020400 0.020745 0.979606 0.531093
0.020500 0.020848 0.979506 0.531093
0.020600 0.020951 0.979407 0.531093
0.020700 0.021054 0.979307 0.531093
0.020800 0.021157 0.979207 0.531093
0.020900 0.021261 0.979107 0.531093
0.021000 0.021364 0.979007 0.531093
0.021100 0.021467 0.978907 0.531093
0.021200 0.021570 0.978807 0.531093
0.021300 0.021673 0.978707 0.531093
0.021400 0.021776 0.978607 0.531093
0.021500 0.021879 0.978507 0.531093
0.021600 0.021982 0.978407 0.531093
