t fi z E
0.000000 1.100000 1.000000 2.619776
0.100000 0.956851 0.979825 2.311480
0.200000 0.673814 0.948612 2.133184
0.300000 0.266498 0.926800 2.314659
0.400000 -0.205633 0.939031 3.038138
0.500000 -0.630538 0.998601 3.838138
0.600000 -0.909916 1.092517 3.986010
0.700000 -1.025196 1.191776 3.670231
0.800000 -1.006064 1.276913 3.325190
0.900000 -0.883224 1.344995 3.064286
1.000000 -0.680532 1.404252 2.936932
1.100000 -0.422975 1.468547 3.024075
1.200000 -0.143075 1.551981 3.344380
1.300000 0.121488 1.662989 3.747827
1.400000 0.339025 1.800483 4.008326
1.500000 0.493669 1.955461 4.043653
1.600000 0.584877 2.116781 3.932921
1.700000 0.620290 2.276011 3.775976
1.800000 0.609726 2.429019 3.628385
1.900000 0.562626 2.575436 3.514836
2.000000 0.487615 2.717474 3.448521
2.100000 0.392751 2.858724 3.436589
2.200000 0.285758 3.003077 3.477613
2.300000 0.173973 3.153835 3.558909
2.400000 0.064060 3.313095 3.658479
2.500000 -0.038390 3.481480 3.751882
2.600000 -0.129159 3.658238 3.820199
2.700000 -0.205501 3.841618 3.854565
2.800000 -0.266023 4.029367 3.855742
2.900000 -0.310424 4.219210 3.830622
3.000000 -0.339202 4.409201 3.788411
3.100000 -0.353378 4.597927 3.738067
3.200000 -0.354301 4.784584 3.687155
3.300000 -0.343505 4.968949 3.641566
3.400000 -0.322623 5.151289 3.605582
3.500000 -0.293334 5.332241 3.581961
3.600000 -0.257322 5.512667 3.571976
3.700000 -0.216253 5.693521 3.575432
3.800000 -0.171739 5.875723 3.590762
3.900000 -0.125314 6.060058 3.615258
4.000000 -0.078401 6.247105 3.645446
4.100000 -0.032283 6.437200 3.677565
4.200000 0.011916 6.630423 3.708053
4.300000 0.053251 6.826621 3.733959
4.400000 0.090957 7.025448 3.753202
4.500000 0.124452 7.226418 3.764667
4.600000 0.153326 7.428967 3.768150
4.700000 0.177322 7.632506 3.764208
4.800000 0.196327 7.836476 3.753950
4.900000 0.210344 8.040388 3.738835
5.000000 0.219479 8.243849 3.720485
5.100000 0.223921 8.446583 3.700537
5.200000 0.223927 8.648433 3.680537
5.300000 0.219809 8.849361 3.661854
5.400000 0.211920 9.049435 3.645631
5.500000 0.200646 9.248812 3.632748
5.600000 0.186397 9.447719 3.623799
5.700000 0.169598 9.646428 3.619087
5.800000 0.150680 9.845232 3.618631
5.900000 0.130077 10.044428 3.622182
6.000000 0.108217 10.244292 3.629264
6.100000 0.085517 10.445066 3.639211
6.200000 0.062375 10.646942 3.651228
6.300000 0.039171 10.850057 3.664452
6.400000 0.016256 11.054486 3.678007
6.500000 -0.006047 11.260245 3.691069
6.600000 -0.027450 11.467291 3.702906
6.700000 -0.047695 11.675531 3.712919
6.800000 -0.066562 11.884828 3.720666
6.900000 -0.083865 12.095016 3.725866
7.000000 -0.099455 12.305907 3.728404
7.100000 -0.113214 12.517304 3.728317
7.200000 -0.125059 12.729008 3.725772
7.300000 -0.134936 12.940835 3.721046
7.400000 -0.142820 13.152616 3.714499
7.500000 -0.148712 13.364209 3.706548
7.600000 -0.152636 13.575501 3.697640
7.700000 -0.154639 13.786413 3.688234
7.800000 -0.154787 13.996896 3.678774
7.900000 -0.153161 14.206938 3.669678
8.000000 -0.149858 14.416556 3.661318
8.100000 -0.144987 14.625796 3.654013
8.200000 -0.138670 14.834729 3.648018
8.300000 -0.131033 15.043444 3.643520
8.400000 -0.122214 15.252043 3.640634
8.500000 -0.112352 15.460640 3.639403
8.600000 -0.101591 15.669350 3.639802
8.700000 -0.090077 15.878287 3.641741
8.800000 -0.077957 16.087558 3.645075
8.900000 -0.065374 16.297260 3.649610
9.000000 -0.052471 16.507476 3.655115
9.100000 -0.039386 16.718273 3.661333
9.200000 -0.026253 16.929700 3.667992
9.300000 -0.013199 17.141785 3.674819
9.400000 -0.000344 17.354538 3.681548
9.500000 0.012198 17.567950 3.687931
