t fi z E
0.000000 0.000000 1.000000 4.005000
0.001000 0.000100 0.998000 4.005000
0.002000 0.000201 0.996000 4.005000
0.003000 0.000302 0.994000 4.005000
0.004000 0.000404 0.992000 4.005000
0.005000 0.000506 0.990000 4.005000
0.006000 0.000608 0.988000 4.005000
0.007000 0.000711 0.986000 4.005000
0.008000 0.000815 0.984000 4.005000
0.009000 0.000918 0.982000 4.005000
0.010000 0.001022 0.980000 4.005000
0.011000 0.001127 0.978000 4.005000
0.012000 0.001232 0.976000 4.005000
0.013000 0.001337 0.974000 4.005000
0.014000 0.001443 0.972001 4.005000
0.015000 0.001549 0.970001 4.005000
0.016000 0.001656 0.968001 4.005000
0.017000 0.001763 0.966001 4.005000
0.018000 0.001870 0.964001 4.005000
0.019000 0.001978 0.962001 4.005000
0.020000 0.002086 0.960001 4.004999
0.021000 0.002195 0.958001 4.004999
0.022000 0.002304 0.956001 4.004999
0.023000 0.002414 0.954001 4.004999
0.024000 0.002524 0.952002 4.004999
0.025000 0.002635 0.950002 4.004999
0.026000 0.002746 0.948002 4.004999
0.027000 0.002857 0.946002 4.004999
0.028000 0.002969 0.944002 4.004999
0.029000 0.003081 0.942002 4.004999
0.030000 0.003194 0.940002 4.004999
0.031000 0.003307 0.938003 4.004999
0.032000 0.003421 0.936003 4.004999
0.033000 0.003535 0.934003 4.004999
0.034000 0.003650 0.932003 4.004999
0.035000 0.003765 0.930003 4.004999
0.036000 0.003880 0.928004 4.004999
0.037000 0.003996 0.926004 4.004999
0.038000 0.004113 0.924004 4.004999
0.039000 0.004230 0.922004 4.004999
0.040000 0.004347 0.920004 4.004999
0.041000 0.004465 0.918005 4.004999
0.042000 0.004584 0.916005 4.004999
0.043000 0.004702 0.914005 4.004999
0.044000 0.004822 0.912005 4.004999
0.045000 0.004942 0.910006 4.004999
0.046000 0.005062 0.908006 4.004999
0.047000 0.005183 0.906006 4.004999
0.048000 0.005304 0.904006 4.004999
0.049000 0.005426 0.902007 4.004999
0.050000 0.005548 0.900007 4.004999
0.051000 0.005671 0.898007 4.004999
0.052000 0.005794 0.896008 4.004999
0.053000 0.005918 0.894008 4.004998
0.054000 0.006042 0.892008 4.004998
0.055000 0.006167 0.890009 4.004998
0.056000 0.006293 0.888009 4.004998
0.057000 0.006418 0.886009 4.004998
0.058000 0.006545 0.884010 4.004998
0.059000 0.006672 0.882010 4.004998
0.060000 0.006799 0.880010 4.004998
0.061000 0.006927 0.878011 4.004998
0.062000 0.007056 0.876011 4.004998
0.063000 0.007185 0.874011 4.004998
0.064000 0.007314 0.872012 4.004998
0.065000 0.007444 0.870012 4.004998
0.066000 0.007575 0.868013 4.004998
0.067000 0.007706 0.866013 4.004998
0.068000 0.007838 0.864013 4.004998
0.069000 0.007970 0.862014 4.004998
0.070000 0.008103 0.860014 4.004998
0.071000 0.008236 0.858015 4.004998
0.072000 0.008370 0.856015 4.004998
0.073000 0.008504 0.854016 4.004998
0.074000 0.008639 0.852016 4.004998
0.075000 0.008775 0.850017 4.004998
0.076000 0.008911 0.848017 4.004998
0.077000 0.009048 0.846018 4.004998
0.078000 0.009185 0.844018 4.004998
0.079000 0.009323 0.842018 4.004998
0.080000 0.009461 0.840019 4.004997
0.081000 0.009600 0.838020 4.004997
0.082000 0.009740 0.836020 4.004997
0.083000 0.009880 0.834021 4.004997
0.084000 0.010021 0.832021 4.004997
0.085000 0.010162 0.830022 4.004997
0.086000 0.010304 0.828022 4.004997
0.087000 0.010446 0.826023 4.004997
0.088000 0.010590 0.824023 4.004997
0.089000 0.010733 0.822024 4.004997
0.090000 0.010878 0.820025 4.004997
0.091000 0.011023 0.818025 4.004997
0.092000 0.011168 0.816026 4.004997
0.093000 0.011314 0.814026 4.004997
0.094000 0.011461 0.812027 4.004997
0.095000 0.011608 0.810028 4.004997
0.096000 0.011757 0.808028 4.004997
0.097000 0.011905 0.806029 4.004997
0.098000 0.012055 0.804030 4.004997
0.099000 0.012204 0.802030 4.004997
0.100000 0.012355 0.800031 4.004997
0.101000 0.012506 0.798032 4.004997
0.102000 0.012658 0.796032 4.004996
0.103000 0.012811 0.794033 4.004996
0.104000 0.012964 0.792034 4.004996
0.105000 0.013118 0.790034 4.004996
0.106000 0.013272 0.788035 4.004996
0.107000 0.013427 0.786036 4.004996
0.108000 0.013583 0.784037 4.004996
0.109000 0.013740 0.782037 4.004996
0.110000 0.013897 0.780038 4.004996
0.111000 0.014055 0.778039 4.004996
0.112000 0.014213 0.776040 4.004996
0.113000 0.014373 0.774040 4.004996
0.114000 0.014533 0.772041 4.004996
0.115000 0.014693 0.770042 4.004996
0.116000 0.014854 0.768043 4.004996
0.117000 0.015017 0.766044 4.004996
0.118000 0.015179 0.764045 4.004996
0.119000 0.015343 0.762045 4.004996
0.120000 0.015507 0.760046 4.004996
0.121000 0.015672 0.758047 4.004995
0.122000 0.015837 0.756048 4.004995
0.123000 0.016004 0.754049 4.004995
0.124000 0.016171 0.752050 4.004995
0.125000 0.016339 0.750051 4.004995
0.126000 0.016507 0.748052 4.004995
0.127000 0.016676 0.746053 4.004995
0.128000 0.016846 0.744053 4.004995
0.129000 0.017017 0.742054 4.004995
0.130000 0.017189 0.740055 4.004995
0.131000 0.017361 0.738056 4.004995
0.132000 0.017534 0.736057 4.004995
0.133000 0.017708 0.734058 4.004995
0.134000 0.017883 0.732059 4.004995
0.135000 0.018058 0.730060 4.004995
0.136000 0.018234 0.728061 4.004994
0.137000 0.018411 0.726062 4.004994
0.138000 0.018589 0.724063 4.004994
0.139000 0.018767 0.722064 4.004994
0.140000 0.018947 0.720066 4.004994
0.141000 0.019127 0.718067 4.004994
0.142000 0.019308 0.716068 4.004994
0.143000 0.019490 0.714069 4.004994
0.144000 0.019672 0.712070 4.004994
0.145000 0.019856 0.710071 4.004994
0.146000 0.020040 0.708072 4.004994
0.147000 0.020225 0.706073 4.004994
0.148000 0.020411 0.704074 4.004994
0.149000 0.020598 0.702076 4.004994
0.150000 0.020786 0.700077 4.004993
0.151000 0.020975 0.698078 4.004993
0.152000 0.021164 0.696079 4.004993
0.153000 0.021354 0.694080 4.004993
0.154000 0.021545 0.692082 4.004993
0.155000 0.021738 0.690083 4.004993
